dataset,model_label,k,recall
coco,$FLAVA_{\mathrm{Image}}$,93,98.72
coco,$FLAVA_{\mathrm{Image}}$,94,98.76
coco,$FLAVA_{\mathrm{Image}}$,95,98.78
coco,$FLAVA_{\mathrm{Image}}$,96,98.8
coco,$FLAVA_{\mathrm{Image}}$,97,98.8
coco,$FLAVA_{\mathrm{Image}}$,98,98.83999999999999
coco,$FLAVA_{\mathrm{Image}}$,99,98.88
coco,$FLAVA_{\mathrm{Image}}$,100,98.92
coco,$OpenCLIP_{\mathrm{Image}}$,1,47.42
coco,$OpenCLIP_{\mathrm{Image}}$,2,58.26
coco,$OpenCLIP_{\mathrm{Image}}$,3,64.72
coco,$OpenCLIP_{\mathrm{Image}}$,4,69.08
coco,$OpenCLIP_{\mathrm{Image}}$,5,72.11999999999999
coco,$OpenCLIP_{\mathrm{Image}}$,6,74.92
coco,$OpenCLIP_{\mathrm{Image}}$,7,76.66
coco,$OpenCLIP_{\mathrm{Image}}$,8,78.38000000000001
coco,$OpenCLIP_{\mathrm{Image}}$,9,79.75999999999999
coco,$OpenCLIP_{\mathrm{Image}}$,10,81.08
coco,$OpenCLIP_{\mathrm{Image}}$,11,82.06
coco,$OpenCLIP_{\mathrm{Image}}$,12,82.84
coco,$OpenCLIP_{\mathrm{Image}}$,13,83.78
coco,$OpenCLIP_{\mathrm{Image}}$,14,84.5
coco,$OpenCLIP_{\mathrm{Image}}$,15,85.11999999999999
coco,$OpenCLIP_{\mathrm{Image}}$,16,85.6
coco,$OpenCLIP_{\mathrm{Image}}$,17,86.26
coco,$OpenCLIP_{\mathrm{Image}}$,18,86.76
coco,$OpenCLIP_{\mathrm{Image}}$,19,87.32
coco,$OpenCLIP_{\mathrm{Image}}$,20,87.78
coco,$OpenCLIP_{\mathrm{Image}}$,21,88.12
coco,$OpenCLIP_{\mathrm{Image}}$,22,88.5
coco,$OpenCLIP_{\mathrm{Image}}$,23,88.92
coco,$OpenCLIP_{\mathrm{Image}}$,24,89.32
coco,$OpenCLIP_{\mathrm{Image}}$,25,89.82
coco,$OpenCLIP_{\mathrm{Image}}$,26,90.25999999999999
coco,$OpenCLIP_{\mathrm{Image}}$,27,90.60000000000001
coco,$OpenCLIP_{\mathrm{Image}}$,28,91.02
coco,$OpenCLIP_{\mathrm{Image}}$,29,91.3
coco,$OpenCLIP_{\mathrm{Image}}$,30,91.52
coco,$OpenCLIP_{\mathrm{Image}}$,31,91.84
coco,$OpenCLIP_{\mathrm{Image}}$,32,92.10000000000001
coco,$OpenCLIP_{\mathrm{Image}}$,33,92.25999999999999
coco,$OpenCLIP_{\mathrm{Image}}$,34,92.54
coco,$OpenCLIP_{\mathrm{Image}}$,35,92.78
coco,$OpenCLIP_{\mathrm{Image}}$,36,93.16
coco,$OpenCLIP_{\mathrm{Image}}$,37,93.36
coco,$OpenCLIP_{\mathrm{Image}}$,38,93.52000000000001
coco,$OpenCLIP_{\mathrm{Image}}$,39,93.86
coco,$OpenCLIP_{\mathrm{Image}}$,40,94.12
coco,$OpenCLIP_{\mathrm{Image}}$,41,94.26
coco,$OpenCLIP_{\mathrm{Image}}$,42,94.54
coco,$OpenCLIP_{\mathrm{Image}}$,43,94.67999999999999
coco,$OpenCLIP_{\mathrm{Image}}$,44,94.84
coco,$OpenCLIP_{\mathrm{Image}}$,45,95.02000000000001
coco,$OpenCLIP_{\mathrm{Image}}$,46,95.12
coco,$OpenCLIP_{\mathrm{Image}}$,47,95.24000000000001
coco,$OpenCLIP_{\mathrm{Image}}$,48,95.32000000000001
coco,$OpenCLIP_{\mathrm{Image}}$,49,95.44
coco,$OpenCLIP_{\mathrm{Image}}$,50,95.52000000000001
coco,$OpenCLIP_{\mathrm{Image}}$,51,95.64
coco,$OpenCLIP_{\mathrm{Image}}$,52,95.76
coco,$OpenCLIP_{\mathrm{Image}}$,53,95.84
coco,$OpenCLIP_{\mathrm{Image}}$,54,95.92
coco,$OpenCLIP_{\mathrm{Image}}$,55,96.08
coco,$OpenCLIP_{\mathrm{Image}}$,56,96.16
coco,$OpenCLIP_{\mathrm{Image}}$,57,96.24000000000001
coco,$OpenCLIP_{\mathrm{Image}}$,58,96.36
coco,$OpenCLIP_{\mathrm{Image}}$,59,96.46000000000001
coco,$OpenCLIP_{\mathrm{Image}}$,60,96.54
coco,$OpenCLIP_{\mathrm{Image}}$,61,96.64
coco,$OpenCLIP_{\mathrm{Image}}$,62,96.66
coco,$OpenCLIP_{\mathrm{Image}}$,63,96.78
coco,$OpenCLIP_{\mathrm{Image}}$,64,96.82
coco,$OpenCLIP_{\mathrm{Image}}$,65,96.92
coco,$OpenCLIP_{\mathrm{Image}}$,66,96.98
coco,$OpenCLIP_{\mathrm{Image}}$,67,97.11999999999999
coco,$OpenCLIP_{\mathrm{Image}}$,68,97.2
coco,$OpenCLIP_{\mathrm{Image}}$,69,97.24000000000001
coco,$OpenCLIP_{\mathrm{Image}}$,70,97.34
coco,$OpenCLIP_{\mathrm{Image}}$,71,97.38
coco,$OpenCLIP_{\mathrm{Image}}$,72,97.52
coco,$OpenCLIP_{\mathrm{Image}}$,73,97.56
